TEO,TEI,TCI,GE,GC,TCO,P,COP,PLR
6.19,8.44,30.00,251.50,358.65,31.70,433.39,5.48,0.38
5.97,8.22,29.97,253.81,359.34,31.87,451.32,5.32,0.38
6.13,11.01,29.93,254.78,362.34,33.79,864.68,6.02,0.82
6.03,10.55,30.19,255.40,364.33,33.53,801.81,6.03,0.76
6.07,8.11,29.83,253.78,365.14,31.98,428.67,5.06,0.34
5.86,10.15,29.99,253.22,358.18,33.27,744.26,6.11,0.72
5.93,9.86,29.92,246.94,362.60,32.56,664.46,6.12,0.64
5.89,9.77,29.86,249.91,356.93,33.01,646.43,6.27,0.64
5.91,7.89,29.93,247.58,356.58,31.10,411.98,4.98,0.32
5.84,11.15,29.88,252.27,357.69,34.64,963.83,5.82,0.89
6.04,11.26,30.18,253.49,365.30,34.32,940.39,5.89,0.87
5.88,11.03,29.80,255.31,360.32,34.02,942.84,5.84,0.87
6.09,11.19,30.13,248.39,361.26,33.76,888.83,5.97,0.84
6.10,11.32,29.94,255.12,362.59,33.95,959.42,5.81,0.88
6.10,10.90,30.18,247.30,364.95,34.26,825.23,6.02,0.79
5.83,10.45,30.07,251.39,365.93,34.01,795.54,6.12,0.77
5.87,9.76,29.83,251.38,364.07,32.64,668.60,6.12,0.65
5.83,8.31,29.95,248.28,366.25,32.02,464.84,5.53,0.41
6.05,8.74,29.95,256.05,360.93,32.56,487.35,5.93,0.46
5.95,10.00,30.16,246.80,365.14,33.06,672.72,6.23,0.66
5.95,8.65,30.14,249.45,357.26,32.22,479.99,5.87,0.45
5.99,9.74,30.10,248.64,357.45,32.86,636.00,6.14,0.62
5.81,8.78,29.97,248.52,366.01,32.52,518.73,5.97,0.49
5.91,8.66,30.12,256.35,358.06,32.33,501.79,5.86,0.46
5.98,7.90,29.98,248.26,365.81,31.95,401.09,4.96,0.31
5.90,7.81,30.13,255.25,360.04,31.74,410.04,4.99,0.32
6.08,11.84,30.00,246.91,366.14,35.06,1049.00,5.68,0.94
6.04,11.36,29.92,253.20,363.69,34.09,960.83,5.87,0.89
5.89,9.57,29.89,247.73,362.31,32.94,629.10,6.08,0.60
5.83,11.82,30.07,253.39,359.01,35.44,1160.10,5.48,1.00
5.88,11.60,29.91,247.57,358.91,34.32,1029.18,5.75,0.94
6.14,10.22,29.81,246.95,357.65,33.17,688.17,6.12,0.67
6.11,11.09,29.93,254.93,360.81,34.37,885.38,6.01,0.84
5.92,11.44,29.85,254.46,361.27,34.89,1028.59,5.72,0.93
6.18,10.96,29.88,247.11,362.88,33.90,815.95,6.06,0.78
5.85,9.65,29.97,253.56,358.23,32.69,644.21,6.26,0.64
